DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.68141,-47.91437,11.8
2024/02/14 17:26:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.0,-15.67737,-47.92245,6.7
2024/02/15 04:33:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.33,-999.0,-15.56955,-47.85738,1.2
2024/02/15 04:57:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,3.52,-999.0,-16.04653,-48.01111,1.2
2024/02/15 04:57:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.4,0.01,-15.57048,-47.85353,2.2
2024/02/15 15:50:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.78,0.0,-15.6743,-47.89536,10.5
2024/02/15 15:50:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.86,0.0,-15.67212,-47.89176,25.2
2024/02/15 15:50:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.58,0.0,-15.66785,-47.902,31.1
2024/02/15 15:50:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.76,0.0,-15.66715,-47.89477,23.6
2024/02/15 15:50:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,2.64,0.0,-15.66566,-47.8987,25.2
2024/02/15 17:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,4.73,0.0,-15.69502,-47.43247,8.0
2024/02/15 17:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,4.65,0.0,-15.69018,-47.42937,5.0
